crop_year,arabica_production_1000_bags,source
2010,41800,USDA PSD via IndexMundi
2011,34700,USDA PSD via IndexMundi
2012,42100,USDA PSD via IndexMundi
2013,41800,USDA PSD via IndexMundi
2014,37300,USDA PSD via IndexMundi
2015,36100,USDA PSD via IndexMundi
2016,45600,USDA PSD via IndexMundi
2017,39500,USDA PSD via IndexMundi
2018,49700,USDA PSD via IndexMundi
2019,42000,USDA PSD via IndexMundi
2020,49700,USDA PSD via IndexMundi
2021,36400,USDA PSD via IndexMundi
2022,39800,USDA PSD via IndexMundi
2023,44900,USDA PSD via IndexMundi
2024,45400,USDA PSD via IndexMundi
